iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
GMB,Africa,Gambia,01/03/2021,4712,0,22.571,150,0,0.857,1894.7,0,9.076,60.315,0,0.345,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.37,2486937,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,,,,
GEO,Asia,Georgia,01/03/2021,270918,160,345.143,3520,10,10.429,68073.732,40.203,86.724,884.473,2.513,2.62,0.86,,,,,,,,,17947,1295590,325.544,4.51,23946,6.017,0.0144,69.4,tests performed,,,,,,,,,,,,,,53.7,3979773,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,,,,
DEU,Europe,Germany,01/03/2021,2455569,5274,8010,70514,362,307.286,29267.643,62.86,95.47,840.448,4.315,3.663,1.04,2869,34.195,,,,,4850,57.807,,,,,167575,1.997,,,tests performed,6542986,4299086,2243971,25,199471,171971,7.8,5.12,2.67,0,2050,120362,0.143,77.78,83900471,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8,81.33,0.947,,,,
GHA,Africa,Ghana,01/03/2021,84023,0,466.286,607,0,3.571,2647.884,0,14.694,19.129,0,0.113,0.98,,,,,,,,,2884,913557,28.79,0.091,4049,0.128,0.1152,8.7,tests performed,0,0,,,,,0,0,,,,,,44.44,31732128,126.719,21.1,3.385,1.948,4227.63,12,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,,,,
GIB,Europe,Gibraltar,01/03/2021,4239,0,1,93,0,0.286,125819.952,0,29.682,2760.381,0,8.48,,,,,,,,,,,,,,,,,,,38056,24352,13704,,1248,918,112.96,72.28,40.68,,27248,779,2.312,,33691,3457.1,,,,,,,,,,,,79.93,,,,,
GRC,Europe,Greece,01/03/2021,192270,1170,1656.857,6534,30,30.429,18539.648,112.817,159.763,630.041,2.893,2.934,1.22,,,,,,,,,17936,5253798,506.598,1.729,42239,4.073,0.0392,25.5,samples tested,921189,594053,327136,,,27254,8.88,5.73,3.15,,2628,15319,0.148,88.89,10370747,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52,,4.21,82.24,0.888,,,,
GRL,North America,Greenland,01/03/2021,30,0,0,,,,527.537,0,0,,,,,,,,,,,,,,,,,,,,,,5130,3927,1203,,,77,9.02,6.91,2.12,,1354,41,0.072,42.59,56868,0.137,,,,,,199.941,2.16,,,,,71.7,,,,,
GRD,North America,Grenada,01/03/2021,148,0,0,1,0,0,1309.561,0,0,8.848,0,0,0,,,,,,,,,,,,,,,,,,,,,,,424,,,,,3752,424,0.375,,113015,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,,,,
GTM,North America,Guatemala,01/03/2021,174653,111,480.571,6402,9,13.714,9570.097,6.082,26.333,350.797,0.493,0.751,1.03,,,,,,,,,5921,910703,49.902,0.324,4789,0.262,0.1003,10,people tested,2427,2427,,,,607,0.01,0.01,,,33,607,0.003,52.78,18249868,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,,,,
GGY,Europe,Guernsey,01/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,,4039,290,0.458,,63385,,,,,,,,,,,,,,,,,,
GIN,Africa,Guinea,01/03/2021,16005,13,82.571,89,0,0.429,1185.798,0.963,6.118,6.594,0,0.032,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.26,13497237,51.755,19,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,,,,
GNB,Africa,Guinea-Bissau,01/03/2021,3262,0,21,48,0,0.143,1618.465,0,10.419,23.816,0,0.071,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GUY,South America,Guyana,01/03/2021,8595,10,24,197,2,1.143,10875.218,12.653,30.367,249.263,2.531,1.446,1.07,,,,,,,,,,,,,955,1.208,0.0251,39.8,tests performed,,,,,,547,,,,,692,547,0.069,60.19,790329,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,
HTI,North America,Haiti,01/03/2021,12448,18,19.857,250,0,0.429,1078.526,1.56,1.72,21.661,0,0.037,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,11541683,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64,0.51,,,,
HND,North America,Honduras,01/03/2021,170985,681,749.714,4174,23,21.429,16991.464,67.674,74.502,414.787,2.286,2.129,1.01,,,,,,,,,,,,,,,,,,,,,,,276,,,,,27,276,0.003,82.41,10062994,82.805,24.9,4.652,2.883,4541.795,16,240.208,7.21,2,,84.169,0.7,75.27,0.634,,,,
HKG,Asia,Hong Kong,01/03/2021,11019,14,19.286,200,1,0.429,1458.929,1.854,2.553,26.48,0.132,0.057,,,,,,,,,,,,,,75137,9.948,,,tests performed,27086,27085,1,,6408,3863,0.36,0.36,0,,511,3863,0.051,71.3,7552800,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,,,,
HUN,Europe,Hungary,01/03/2021,432925,4326,3897,15058,84,101.571,44936.446,449.027,404.498,1562.98,8.719,10.543,1.44,,,5679,589.465,,,,,20230,3229736,335.238,2.1,23005,2.388,0.1694,5.9,tests performed,974524,721677,252847,,37586,44530,10.12,7.49,2.62,,4622,37797,0.392,72.22,9634162,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,
ISL,Europe,Iceland,01/03/2021,6054,5,0.714,29,0,0,16415.757,13.558,1.937,78.635,0,0,0.77,,,,,,,,,456,278589,755.41,1.236,411,1.114,,,tests performed,33683,21083,12600,,,846,9.13,5.72,3.42,,2294,550,0.149,40.74,368792,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,,,,
IND,Asia,India,01/03/2021,11124527,12286,15441.857,157248,91,112.143,7983.677,8.817,11.082,112.851,0.065,0.08,1.11,,,,,,,,,627668,216858774,155.632,0.45,758147,0.544,0.0204,49.1,samples tested,14854136,12256337,2597799,,552870,490006,1.07,0.88,0.19,,352,278255,0.02,63.43,1393409033,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,
IDN,Asia,Indonesia,01/03/2021,1341314,6680,7497.286,36325,159,233.429,4853.471,24.171,27.129,131.44,0.575,0.845,0.83,,,,,,,,,,,,,,,,,,,,,,,118752,,,,,430,82180,0.03,71.76,276361788,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,
IRN,Asia,Iran,01/03/2021,1639679,8510,8200.571,60181,108,87,19283.816,100.084,96.445,707.772,1.27,1.023,1.04,,,,,,,,,,,,,58749,0.691,0.1396,7.2,tests performed,,,,,,3806,,,,,45,3806,0.004,81.94,85028760,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,
IRQ,Asia,Iraq,01/03/2021,699088,3599,3898.143,13428,22,19,16976.664,87.398,94.663,326.086,0.534,0.461,1.14,,,,,,,,,35578,6881821,167.118,0.864,40670,0.988,0.0958,10.4,samples tested,0,0,,,,,0,0,,,,,,84.26,41179351,88.125,20,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,,,,
IRL,Europe,Ireland,01/03/2021,220273,681,647.143,4319,0,26,44205.748,136.667,129.873,866.764,0,5.218,0.84,117,23.48,540,108.371,,,,,12210,3548962,712.228,2.45,15917,3.194,0.0407,24.6,tests performed,475733,321662,154089,,6355,12940,9.55,6.46,3.09,,2597,11627,0.233,84.26,4982904,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23,25.7,,2.96,82.3,0.955,,,,
IMN,Europe,Isle of Man,01/03/2021,486,2,4.286,25,0,0,5690.2,23.416,50.178,292.706,0,0,,,,,,,,,,,,,,,,,,,21998,14316,7682,,546,599,25.76,16.76,8.99,,7013,177,0.207,,85410,147.872,,,,,,,,,,,,81.4,,,,,
ISR,Asia,Israel,01/03/2021,779958,4151,3565.714,5760,8,23.429,83947.691,446.776,383.782,619.955,0.861,2.522,0.92,267,28.737,1496,161.016,96,10.333,1168,125.713,88019,12688001,1365.623,9.474,63400,6.824,0.0562,17.8,tests performed,8241202,4774349,3466853,,107112,98434,88.7,51.39,37.31,,10595,45753,0.492,62.96,9291000,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,,,,
ITA,Europe,Italy,01/03/2021,2938371,13106,17072.571,97945,246,279,48674.741,217.104,282.811,1622.48,4.075,4.622,1.21,2289,37.918,21401,354.512,1206,19.978,8981,148.772,170633,40303520,667.636,2.827,296273,4.908,0.0576,17.4,tests performed,4573896,3109152,1464772,,136183,119979,7.58,5.15,2.43,,1987,107669,0.178,77.78,60367471,205.859,47.9,23.021,16.24,35220.084,2,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
JAM,North America,Jamaica,01/03/2021,23599,336,274.286,425,3,3.714,7936.54,113,92.245,142.931,1.009,1.249,1.18,,,,,,,,,,,,,2353,0.791,0.1166,8.6,samples tested,,,,,,,,,,,,,,74.07,2973462,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,,,,
JPN,Asia,Japan,01/03/2021,433334,698,1006,7948,51,57,3437.773,5.537,7.981,63.054,0.405,0.452,0.91,,,,,,,,,60090,7794613,61.837,0.477,42741,0.339,0.0235,42.5,people tested,31785,31785,,,,2836,0.03,0.03,,,22,2836,0.002,48.15,126050796,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,,,,
JOR,Asia,Jordan,01/03/2021,397158,6068,4125.714,4727,26,22.429,38675.348,590.903,401.763,460.316,2.532,2.184,1.36,,,,,,,,,41029,4641226,451.964,3.995,33694,3.281,0.1224,8.2,tests performed,,,,,,11719,,,,,1141,5037,0.049,62.96,10269022,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,,,,
KAZ,Asia,Kazakhstan,01/03/2021,263396,681,799.429,3389,0,11.143,13866.627,35.852,42.086,178.416,0,0.587,0.96,,,,,,,,,32113,7613968,400.842,1.691,35988,1.895,0.0222,45,tests performed,,,,,,2649,,,,,139,1975,0.01,59.26,18994958,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7,43.1,98.999,6.7,73.6,0.825,,,,
KEN,Africa,Kenya,01/03/2021,106125,152,259.857,1859,3,4.571,1930.047,2.764,4.726,33.809,0.055,0.083,1.37,,,,,,,,,,,,,4658,0.085,0.0558,17.9,tests performed,,,,,,,,,,,,,,50.93,54985702,87.324,20,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,,,,
OWID_KOS,Europe,Kosovo,01/03/2021,68451,0,281.571,1592,0,2.857,38409.979,0,157.998,893.321,0,1.603,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,1782115,168.155,,,,9795.834,0.6,,,,,,,,,,,,
KWT,Asia,Kuwait,01/03/2021,192031,1179,1006,1085,2,5.143,44363.786,272.377,232.41,250.661,0.462,1.188,1.2,,,,,,,,,7542,1792041,414.005,1.742,7641,1.765,0.1317,7.6,tests performed,,,,,,8810,,,,,2035,8810,0.204,66.67,4328553,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37,,2,75.49,0.806,,,,
KGZ,Asia,Kyrgyzstan,01/03/2021,86308,57,54.143,1467,1,1.286,13021.044,8.599,8.168,221.322,0.151,0.194,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.76,6628347,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,,,,
LAO,Asia,Laos,01/03/2021,45,0,0,,,,6.098,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,7379358,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,,,,
LVA,Europe,Latvia,01/03/2021,86458,272,666.429,1621,3,10.714,46310.153,145.693,356.964,868.269,1.607,5.739,0.94,,,728,389.944,,,,,3451,1451361,777.403,1.848,10085,5.402,0.0661,15.1,tests performed,65662,48134,17528,4,1797,2420,3.52,2.58,0.94,0,1296,2354,0.126,56.48,1866934,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.866,,,,
LBN,Asia,Lebanon,01/03/2021,376938,1888,2903.429,4743,51,50.857,55684.679,278.912,428.921,700.679,7.534,7.513,1.05,,,,,,,,,,,,,,,,,,45859,,,,5266,3975,0.68,,,,587,,,92.59,6769151,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,,,,
LSO,Africa,Lesotho,01/03/2021,10495,4,4.143,295,3,1,4860.896,1.853,1.919,136.633,1.389,0.463,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,2159067,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,,,,
LBR,Africa,Liberia,01/03/2021,2010,0,3.143,85,0,0,388.015,0,0.607,16.409,0,0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,5180208,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,,,,
LBY,Africa,Libya,01/03/2021,134127,789,559.286,2210,31,13.429,19275.17,113.386,80.374,317.595,4.455,1.93,1.28,,,,,,,,,4241,,,0.609,,,,,samples tested,,,,,,,,,,,,,,76.85,6958538,3.623,29,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,,,,
LIE,Europe,Liechtenstein,01/03/2021,2652,4,4,55,0,0,69326.084,104.564,104.564,1437.758,0,0,1.08,,,,,,,,,215,28541,746.092,5.62,134,3.503,0.029,34.5,tests performed,2602,1866,818,,0,83,6.8,4.88,2.14,,2170,31,0.081,48.15,38254,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LTU,Europe,Lithuania,01/03/2021,199398,253,723.571,3253,9,10.714,74129.453,94.057,268.999,1209.356,3.346,3.983,1.08,,,858,318.975,,,,,8137,2136653,794.336,3.025,7482,2.782,0.069,14.5,tests performed,248522,173951,74567,4,7584,7325,9.24,6.47,2.77,0,2723,6720,0.25,66.67,2689862,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38,,6.56,75.93,0.882,,,,
LUX,Europe,Luxembourg,01/03/2021,55480,370,186.857,639,2,1.571,87395.678,582.848,294.349,1006.594,3.151,2.475,1.06,20,31.505,100,157.526,,,,,9443,2131541,3357.741,14.875,9051,14.258,0.02,50,tests performed,39135,27663,11472,,,1028,6.16,4.36,1.81,,1619,567,0.089,55.56,634814,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26,,4.51,82.25,0.916,,,,
MAC,Asia,Macao,01/03/2021,48,0,0,,,,72.905,0,0,,,,,,,,,,,,,,,,,,,,,,15094,,,,668,1628,2.29,,,,2473,,,23.15,658391,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,,,,
MDG,Africa,Madagascar,01/03/2021,19831,0,0,297,0,0,697.603,0,0,10.448,0,0,0.47,,,,,,,,,,,,,391,0.014,0,,tests performed,,,,,,,,,,,,,,37.04,28427333,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,
MWI,Africa,Malawi,01/03/2021,32008,63,152.286,1048,4,3.857,1629.098,3.206,7.751,53.34,0.204,0.196,0.61,,,,,,,,,,,,,1118,0.057,0.1362,7.3,tests performed,,,,,,,,,,,,,,40.74,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,
MYS,Asia,Malaysia,01/03/2021,302580,1828,2402.714,1140,5,11.286,9231.7,55.772,73.307,34.781,0.153,0.344,0.82,248,7.566,2274,69.38,,,3030,92.445,61120,8621231,263.033,1.865,73085,2.23,0.0329,30.4,people tested,34116,34091,25,,15392,6810,0.1,0.1,0,,208,6806,0.021,73.61,32776195,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1,42.4,,1.9,76.16,0.81,,,,
MDV,Asia,Maldives,01/03/2021,19979,186,149.857,62,0,0.286,36751.775,342.151,275.665,114.05,0,0.526,1.03,,,,,,,,,4247,522235,960.662,7.812,4386,8.068,0.0342,29.3,samples tested,117115,117115,,,5700,5279,21.54,21.54,,,9711,5279,0.971,,543620,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55,95.803,,78.92,0.74,,,,
MLI,Africa,Mali,01/03/2021,8390,14,12,355,2,1,402.288,0.671,0.575,17.022,0.096,0.048,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,20855724,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23,52.232,0.1,59.31,0.434,,,,
MLT,Europe,Malta,01/03/2021,22657,175,224.571,316,1,1.571,43900.407,339.082,435.132,612.284,1.938,3.045,1.24,19,36.815,91,176.322,,,,,3871,702110,1360.415,7.5,3421,6.629,0.0656,15.2,tests performed,81883,52862,29021,,2259,2221,15.87,10.24,5.62,,4303,1098,0.213,52.78,516100,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,,,,
MHL,Oceania,Marshall Islands,01/03/2021,4,0,0,,,,67.094,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59618,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,,,,
MRT,Africa,Mauritania,01/03/2021,17217,10,15.286,441,0,0.857,3605.571,2.094,3.201,92.354,0,0.18,0.88,,,,,,,,,,,,,1016,0.213,0.015,66.5,tests performed,,,,,,,,,,,,,,48.15,4775110,4.289,20.3,3.138,1.792,3597.633,6,232.347,2.42,,,15.95,,64.92,0.546,,,,
MUS,Africa,Mauritius,01/03/2021,619,9,2.286,10,0,0,486.09,7.068,1.795,7.853,0,0,0.37,,,,,,,,,,,,,,,,,,,,,,,3242,,,,,2546,3242,0.255,19.44,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,
MEX,North America,Mexico,01/03/2021,2089281,2343,6521.286,186152,437,802.286,16039.04,17.987,50.063,1429.056,3.355,6.159,0.89,,,,,,,,,31309,5258343,40.367,0.24,23272,0.179,0.258,3.9,people tested,2526863,1959525,567338,,71768,113351,1.94,1.5,0.44,,870,97477,0.075,60.65,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,,,,
FSM,Oceania,Micronesia (country),01/03/2021,1,0,0,,,,8.602,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116255,150.777,23,4.81,2.392,3299.464,16,454.343,12.02,,,,,67.88,0.62,,,,
MDA,Europe,Moldova,01/03/2021,186447,994,1291.429,3975,26,25.143,46333.46,247.016,320.93,987.817,6.461,6.248,1.2,,,,,,,,,2360,,,0.586,3839,0.954,0.3364,3,tests performed,,,,,,,,,,,,,,69.44,4024025,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,,,,
MCO,Europe,Monaco,01/03/2021,1965,9,11.429,24,0,0.286,49721.66,227.733,289.184,607.287,0,7.23,0.89,,,,,,,,,,,,,,,,,,,,,,,294,,,,,7439,,,57.41,39520,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,
MNG,Asia,Mongolia,01/03/2021,2952,45,37,2,0,0,886.678,13.516,11.114,0.601,0,0,1.14,,,,,,,,,20554,1805453,542.295,6.174,20193,6.065,0.0018,545.8,samples tested,,,,,,1232,,,,,370,1378,0.041,68.06,3329282,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7,69.87,0.737,,,,
MNE,Europe,Montenegro,01/03/2021,76283,449,555.429,1015,12,8.286,121459.881,714.91,884.369,1616.111,19.107,13.193,1.06,,,,,,,,,,,,,,,,,,1531,1531,,,,155,0.24,0.24,,,247,155,0.025,,628051,46.28,39.1,14.762,9.395,16409.288,1,387.305,10.08,44,47.9,,3.861,76.88,0.829,,,,
MSR,North America,Montserrat,01/03/2021,20,0,0,1,0,0,4015.258,0,0,200.763,0,0,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,4417,20,0.402,,4981,,,,,,,,,,,,,74.16,,,,,
MAR,Africa,Morocco,01/03/2021,483766,112,357.571,8637,14,11.143,12954.044,2.999,9.575,231.277,0.375,0.298,0.95,,,,,,,,,,,,,9618,0.258,0.0372,26.9,people tested,3801650,3568670,232980,,,175138,10.18,9.56,0.62,,4690,145236,0.389,76.85,37344787,80.08,29.6,6.769,4.209,7485.013,1,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,,,,
MOZ,Africa,Mozambique,01/03/2021,59607,257,492.429,653,12,7.714,1853.276,7.991,15.31,20.303,0.373,0.24,0.8,,,,,,,,,1547,424885,13.21,0.048,2619,0.081,0.188,5.3,tests performed,,,,,,,,,,,,,,62.96,32163045,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,,,,
MMR,Asia,Myanmar,01/03/2021,141916,20,22.143,3199,0,0.286,2589.424,0.365,0.404,58.37,0,0.005,0.64,,,,,,,,,,,,,1210,0.022,0.0183,54.6,samples tested,,,,,,12222,,,,,223,11481,0.021,77.31,54806014,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,,,,
NAM,Africa,Namibia,01/03/2021,39033,188,184.429,428,4,3.143,15086.127,72.661,71.281,165.421,1.546,1.215,0.98,,,,,,,,,1509,304421,117.658,0.583,1461,0.565,0.1262,7.9,tests performed,,,,,,,,,,,,,,50,2587344,3.078,22,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,,,,
NPL,Asia,Nepal,01/03/2021,274216,73,94.286,2777,3,102.286,9240.665,2.46,3.177,93.581,0.101,3.447,0.84,,,,,,,,,3049,2165985,72.99,0.103,3239,0.109,0.029,34.5,samples tested,,,,,,44361,,,,,1495,44361,0.149,52.78,29674920,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,,,,
NLD,Europe,Netherlands,01/03/2021,1098493,3984,4550.429,15611,21,47.857,63965.934,231.991,264.974,909.038,1.223,2.787,1.05,536,31.212,1375,80.067,185,10.773,1222,71.158,56424,8464082,492.869,3.286,46479,2.707,0.086,11.6,tests performed,,,,,,47169,,,,,2747,32173,0.187,78.7,17173094,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,,,,
NCL,Oceania,New Caledonia,01/03/2021,58,0,0.429,,,,201.237,0,1.487,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,1249,259,0.09,,288217,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,,,,
NZL,Oceania,New Zealand,01/03/2021,2382,4,2.714,26,0,0,464.663,0.78,0.529,5.072,0,0,1.11,,,,,,,,,4649,1712029,333.97,0.907,7101,1.385,0.0004,2616.4,tests performed,8124,8123,1,,1411,1073,0.16,0.16,0,,209,1073,0.021,62.5,5126300,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,,,,
NIC,North America,Nicaragua,01/03/2021,6445,0,6.714,173,0,0.143,961.599,0,1.002,25.812,0,0.021,0.22,,,,,,,,,,,,,,,,,,0,0,,,,,0,0,,,,,,8.33,6702379,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,,,,
NER,Africa,Niger,01/03/2021,4740,0,0,172,0,0,188.613,0,0,6.844,0,0,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,25130810,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,,,,
NGA,Africa,Nigeria,01/03/2021,156017,360,485.857,1915,8,7.571,738.016,1.703,2.298,9.059,0.038,0.036,0.73,,,,,,,,,,1544008,7.304,,7844,0.037,0.0619,16.1,tests performed,,,,,,,,,,,,,,58.33,211400704,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,,,,
MKD,Europe,North Macedonia,01/03/2021,103020,233,516,3144,7,9.714,49465.564,111.876,247.76,1509.607,3.361,4.664,1.29,,,,,,,,,3144,526529,252.816,1.51,2927,1.405,0.1763,5.7,tests performed,,,,,,189,,,,,91,189,0.009,,2082661,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,75.8,0.774,,,,
NOR,Europe,Norway,01/03/2021,71735,729,425.286,623,1,2.143,13124.747,133.379,77.811,113.985,0.183,0.392,1.33,,,102,18.662,,,,,26937,3805226,696.21,4.928,17499,3.202,0.02,50,people tested,521306,348236,173070,,6216,15817,9.54,6.37,3.17,,2894,6317,0.116,67.59,5465629,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,,,,
OMN,Asia,Oman,01/03/2021,141808,312,302.286,1577,7,3.143,27148.725,59.731,57.872,301.912,1.34,0.602,1.25,,,,,,,,,,,,,,,,,,,,,,,1867,,,,,357,1867,0.036,56.48,5223376,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,,,,
PAK,Asia,Pakistan,01/03/2021,582528,1163,1306.286,12938,42,40,2586.715,5.164,5.801,57.451,0.187,0.178,1.1,,,,,,,,,38338,8990176,39.921,0.17,38803,0.172,0.0337,29.7,tests performed,,,,,,13196,,,,,59,13196,0.006,50.46,225199929,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,,,,
