iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
BDI,Africa,Burundi,01/03/2022,38127,0,15.571,38,0,0,3111.029,0,1.271,3.101,0,0,,,,,,,,,,,,,,1779,0.145,0.0088,114.3,tests performed,,,,,,,,,,,,,,,12255429,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,,,,
KHM,Asia,Cambodia,01/03/2022,130589,313,430.571,3032,0,1.429,7705.982,18.47,25.408,178.917,0,0.084,,,,,,,,,,,,,,2239,0.132,0.1923,5.2,tests performed,35561224,14623044,13854023,8137308,139574,150205,209.84,86.29,81.75,48.02,8864,31601,0.186,,16946446,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82,0.594,,,,
CMR,Africa,Cameroon,01/03/2022,119240,0,19,1923,0,0.429,4379.917,0,0.698,70.636,0,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27224262,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,,,,
CAN,North America,Canada,01/03/2022,3307144,4744,6072.857,36706,18,45.857,86874.844,124.619,159.527,964.224,0.473,1.205,,607,15.945,5095,133.84,,,,,37824,58276405,1530.854,0.994,50801,1.334,0.1195,8.4,tests performed,,,,,,94865,,,,,2492,5268,0.014,,38067913,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929,,,,
CPV,Africa,Cape Verde,01/03/2022,55887,1,3.286,401,0,0,99460.581,1.78,5.847,713.649,0,0,,,,,,,,,,338,,,0.602,,,,,tests performed,,,,,,,,,,,,,,,561901,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,,,,
CYM,North America,Cayman Islands,01/03/2022,19373,0,92.143,17,0,0,291332.07,0,1385.649,255.647,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CAF,Africa,Central African Republic,01/03/2022,14225,0,5.429,113,0,0,2891.268,0,1.103,22.968,0,0,,,,,,,,,,,,,,127,0.026,0.0427,23.4,tests performed,,,,,,,,,,,,,,,4919987,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28,0.397,,,,
TCD,Africa,Chad,01/03/2022,7257,2,1.286,190,0,0,429.028,0.118,0.076,11.233,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16914985,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,,,
CHL,South America,Chile,01/03/2022,3061019,0,23584,42353,0,118.143,159325.491,0,1227.543,2204.466,0,6.149,,1107,57.619,,,493,25.661,,,51271,32822346,1708.397,2.669,91331,4.754,0.2582,3.9,tests performed,,,,,,,,,,,,,,30.09,19212362,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,,,,
CHN,Asia,China,01/03/2022,109750,224,222.286,4636,0,0,75.993,0.155,0.154,3.21,0,0,,,,,,,,,,,,,,,,,,,3135598000,,,,5753000,5690143,217.11,,,,3940,,,64.35,1444216102,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
COL,South America,Colombia,01/03/2022,6065801,1218,1953.571,138854,87,81.286,118320.521,23.759,38.107,2708.509,1.697,1.586,,,,,,,,,,30211,33162747,646.878,0.589,29703,0.579,0.088,11.4,tests performed,,,,,,,,,,,,,,,51265841,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
COM,Africa,Comoros,01/03/2022,8033,0,1.286,160,0,0,9041.528,0,1.447,180.088,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888456,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,
COG,Africa,Congo,01/03/2022,24020,0,13.571,378,0,0.143,4246.054,0,2.399,66.82,0,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5657017,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,
COK,Oceania,Cook Islands,01/03/2022,2,0,0,,,,113.817,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17572,,,,,,,,,,,,,76.25,,,,,
CRI,North America,Costa Rica,01/03/2022,809131,2203,2185.143,8047,10,13.286,157447.491,428.678,425.203,1565.853,1.946,2.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5139053,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,
CIV,Africa,Cote d'Ivoire,01/03/2022,81483,0,12.286,793,0,0.286,3011.906,0,0.454,29.312,0,0.011,,,,,,,,,,,,,,2120,0.078,0.0058,172.6,tests performed,,,,,,,,,,,,,,,27053629,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,
HRV,Europe,Croatia,01/03/2022,1055943,1149,1801.286,15101,32,28,258704.492,281.503,441.312,3699.723,7.84,6.86,,,,,,,,,,5675,4519621,1107.301,1.39,5934,1.454,0.3036,3.3,people tested,5196904,2307028,2230485,,1178,1657,127.32,56.52,54.65,,406,250,0.006,,4081657,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,,,
CUB,North America,Cuba,01/03/2022,1070258,396,549.143,8495,1,0.571,94566.661,34.99,48.522,750.608,0.088,0.05,,,,,,,,,,,,,,,,,,,35016078,10610252,9883693,5974852,14417,15517,309.4,93.75,87.33,52.79,1371,1056,0.009,,11317498,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,
