iso_code,location,continent,total_cases_per_million2021,total_cases_per_million2022,growth_cases_per_million,total_deathsMar21,total_deathsMar22,growth_deaths,total_cases2021,total_cases2022,dtc_Ratio2022
PAK,Pakistan,Asia,2586.715,6709.531,1.593842383,12938,30218,1.335600557,582528,1510986,1.999886167
PLW,Palau,Oceania,35486.245,208044.459,4.862678877,2058,6,-0.997084548,185336,3781,0.158688178
PSE,Palestine,Asia,77921.61,123919.823,0.590313945,5858,5513,-0.05889382,341420,647203,0.85181929
PAN,Panama,North America,149.687,172506.831,1151.45032,14,8093,577.0714286,1365,755853,1.070710839
PNG,Papua New Guinea,Oceania,22223.82,4527.906,-0.796258879,3198,638,-0.800500313,160448,41290,1.545168322
PRY,Paraguay,South America,39862.959,88949.575,1.231384153,123365,18392,-0.850913955,1329805,642184,2.86397668
PER,Peru,South America,5208.438,105435.302,19.24317118,12322,210672,16.09722448,578381,3517260,5.989662408
PHL,Philippines,Asia,45288.568,32986.591,-0.271635372,43793,56451,0.289041628,1711772,3663059,1.541089019
POL,Poland,Europe,79166.217,150277.377,0.898251334,16351,111586,5.824414409,804956,5680034,1.964530494
PRT,Portugal,Europe,56009.437,321956.018,4.748245925,259,21086,80.41312741,164137,3273624,0.644117956
QAT,Qatar,Asia,42037.829,121920.858,1.90026533,20403,670,-0.967161692,804090,357292,0.187521691
ROU,Romania,Europe,28851.975,143348.896,3.968425766,85025,63578,-0.252243458,4209850,2741945,2.318719012
RUS,Russia,Europe,1430.044,111421.169,76.91450403,264,345427,1307.435606,18986,16257688,2.124699404
RWA,Rwanda,Africa,656.276,9755.269,13.86458289,,1457,#DIV/0!,4,129516,1.124957534
SHN,Saint Helena,Africa,765.697,656.276,-0.142903786,,,#DIV/0!,41,4,0
KNA,Saint Kitts and Nevis,North America,18383.848,103275.688,4.61774053,36,42,0.166666667,3390,5530,0.759493671
LCA,Saint Lucia,North America,4158.725,123166.36,28.61637521,,358,#DIV/0!,24,22712,1.576259246
SPM,Saint Pierre and Miquelon,North America,14631.209,188355.571,11.87354798,8,1,-0.875,1628,1087,0.09199632
VCT,Saint Vincent and the Grenadines,North America,14.989,74692.861,4982.178397,,106,#DIV/0!,3,8311,1.275418121
WSM,Samoa,Oceania,109261.982,164.881,-0.998490957,74,,-1,3716,33,0
SMR,San Marino,Europe,8183.951,423816.525,50.78629796,30,112,2.733333333,1828,14414,0.777022339
STP,Sao Tome and Principe,Africa,10687.4,26566.501,1.485777738,6500,72,-0.988923077,377700,5934,1.213346815
SAU,Saudi Arabia,Asia,2019.736,21097.217,9.44553199,880,9001,9.228409091,34732,745590,1.207231857
SEN,Senegal,Africa,67339.713,4983.57,-0.925993596,4459,1960,-0.56043956,462728,85699,2.287074528
SRB,Serbia,Europe,26468.507,278519.67,9.52268154,11,15280,1388.090909,2618,1913861,0.79838609
SYC,Seychelles,Africa,477.44,398372.258,833.3922964,79,163,1.063291139,3887,39403,0.413674086
SLE,Sierra Leone,Africa,10992.372,941.491,-0.914350515,29,125,3.310344828,59948,7665,1.630789302
SGP,Singapore,Asia,108663.179,137249.523,0.263072959,7270,1030,-0.858321871,592135,748504,0.137607815
SVK,Slovakia,Europe,91558.134,391757.979,3.278789463,3854,18530,3.807991697,190324,2134795,0.867999035
SVN,Slovenia,Europe,25.568,430636.501,16841.79181,,6318,#DIV/0!,18,895174,0.705784574
SLB,Solomon Islands,Oceania,451.848,10309.732,21.8168145,243,106,-0.563786008,7392,7258,1.460457426
SOM,Somalia,Africa,25215.001,1610.746,-0.936119535,50077,1348,-0.973081455,1513959,26351,5.115555387
ZAF,South Africa,Africa,41536.467,61218.668,0.473853518,545000,99430,-0.817559633,18037632,3675691,2.705069605
OWID_SAM,South America,,1761.459,124882.372,69.89712108,1606,1258278,782.4856787,90372,54231436,2.320200409
KOR,South Korea,Asia,703.781,68076.668,95.72990319,94,8266,86.93617021,8010,3492686,0.236665993
SSD,South Sudan,Africa,68553.14,1491.735,-0.978239728,69609,137,-0.998031864,3204531,16978,0.806926611
ESP,Spain,Europe,3886.627,236090.174,59.74423247,476,99883,208.8382353,83552,11036085,0.90505827
LKA,Sri Lanka,Asia,676.118,30094.376,43.5105381,1890,16244,7.594708995,30364,646948,2.510866407
SDN,Sudan,Africa,15094.678,1369.158,-0.909295316,173,3909,21.59537572,8933,61488,6.357338017
SUR,Suriname,South America,64694.755,132298.521,1.044965175,12826,1317,-0.897317948,657309,78294,1.682121235
SWE,Sweden,Europe,63965.623,240959.024,2.767008163,10027,17242,0.719557196,557492,2448182,0.704277705
CHE,Switzerland,Europe,855.89,323414.829,376.8696199,1032,13110,11.70348837,15642,2818720,0.465104728
SYR,Syria,Asia,40.034,2991.075,73.71336864,9,3079,341.1111111,955,54664,5.632591834
TWN,Taiwan,Asia,1406.618,860.742,-0.388076933,91,853,8.373626374,13714,20533,4.154288219
TJK,Tajikistan,Asia,8.277,1824.275,219.4029238,21,125,4.952380952,509,17786,0.702799955
